Name,Total Rating,Review Count,Price Range,Address Region,Food,Service,Value,Atmosphere,Excellent,Very good,Average,Poor,Terrible
Toh no Shita,4.5,8,$$ - $$$,Kinki,,,,,50%,50%,0%,0%,0%
Hunter,4.5,7,,Kinki,,,,,,,,,
Hamac de Paradis Kanbai-Kan,4.0,16,$$ - $$$,Kinki,3.5,3.5,4.5,,25%,44%,31%,0%,0%
Rondo,4.0,17,$$ - $$$,Kinki,4.0,4.5,4.0,,29%,55%,11%,0%,5%
Kissa Ashijima,4.0,10,,Kinki,,,,,,,,,
Tenkaippin Poncho Ajigasane,4.0,20,$$ - $$$,Kinki,3.5,4.0,3.0,,45%,25%,20%,0%,10%
Suigetsu Dining Kujo,4.5,9,,Kinki,,,,,,,,,
Motsunabe Kamehachi Yamanashi,4.5,8,,Kinki,,,,,63%,37%,0%,0%,0%
Cafe Lec Court,4.0,14,,Kinki,4.0,4.0,3.5,,28%,51%,21%,0%,0%
Sake & Beer Bar WindMill,5.0,6,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Gion Tokiwa,4.0,17,$$ - $$$,Kinki,4.5,4.0,4.0,,35%,23%,42%,0%,0%
Kyoyasai Restaurant Umekoji Park,4.0,16,,Kinki,3.5,3.5,4.0,,12%,76%,6%,0%,6%
Hiyoko,5.0,7,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Yoshizen,4.5,8,$$$$,Kinki,5.0,5.0,4.5,,63%,37%,0%,0%,0%
Ayu No Yadotsutaya,5.0,10,$$ - $$$,Kinki,,,,,90%,10%,0%,0%,0%
Sake Caliente Kyoto,4.5,10,$$ - $$$,Kinki,5.0,5.0,5.0,,90%,0%,0%,0%,10%
Kanazawa Maimon Sushi Kyoto Station Porta,4.0,13,$$ - $$$,Kinki,,,,,30%,40%,23%,7%,0%
Trattoria Saltinbanco,4.0,12,$$ - $$$,Kinki,4.5,4.5,4.0,,51%,25%,16%,8%,0%
Tawawa Nijo,4.5,12,$,Kinki,,,,,,,,,
Pacioccone,5.0,7,,Kinki,,,,,86%,14%,0%,0%,0%
Shimizuya Nishiki Karasuma Nishiki,4.0,18,$$ - $$$,Kinki,,,,,,,,,
Komeda’s Coffee Kyoto Nijo Ekimae,3.5,22,$$ - $$$,Kinki,4.0,3.5,3.5,,13%,52%,31%,0%,4%
Kyoto Hotel Okura Shimmachi 1888,4.5,11,,Kinki,4.0,4.5,4.5,,36%,64%,0%,0%,0%
Kyoto/Rokkaku Busonan main,4.5,8,,Kinki,,,,,63%,25%,12%,0%,0%
Kyoto Fushimigura Minamian,4.0,11,$$ - $$$,Kinki,5.0,4.5,4.0,,36%,46%,18%,0%,0%
Kushikatsu Specialty restaurant Arashiyama Kushibun,4.5,9,,Kinki,,,,,45%,44%,11%,0%,0%
Momijiya,4.0,15,$$$$,Kinki,4.0,4.5,3.5,,40%,54%,0%,0%,6%
Tokube,4.0,16,$$ - $$$,Kinki,4.0,3.5,4.0,,18%,51%,31%,0%,0%
Fuka,4.0,16,,Kinki,3.5,3.0,3.0,,18%,51%,31%,0%,0%
Isshi Soden Nakamura,4.0,26,$$$$,Kinki,4.0,4.5,3.5,,52%,23%,11%,3%,11%
Kyoubijaya,4.0,11,$$ - $$$,Kinki,4.0,3.5,3.5,,9%,82%,9%,0%,0%
Cafe Reims,4.0,13,$$ - $$$,Kinki,4.0,4.0,4.0,,30%,55%,15%,0%,0%
Steakhouse　Shingo,4.5,9,,Kinki,5.0,5.0,4.0,,78%,11%,11%,0%,0%
Tenkaippin Gion,3.5,31,$$ - $$$,Kinki,4.0,4.0,4.0,,22%,54%,9%,6%,9%
"Hakata Kaen Karamen Akagami, Kyoto",5.0,6,$,Kinki,,,,,84%,16%,0%,0%,0%
Bunnosuke Chaya Shimizu,4.0,13,,Kinki,4.0,3.5,3.5,,15%,70%,15%,0%,0%
Dumpling,4.0,10,,Kinki,,,,,30%,60%,10%,0%,0%
Tsukitokage,5.0,8,$$ - $$$,Kinki,,,,,,,,,
Refuge,5.0,8,$$ - $$$,Kinki,,,,,88%,12%,0%,0%,0%
Nara,4.5,10,,Kinki,,,,,,,,,
Awazu,5.0,6,,Kinki,,,,,100%,0%,0%,0%,0%
Ramen Ginkaku,4.0,13,$$ - $$$,Kinki,,,,,,,,,
Sushidokoro Man,4.0,16,$$$$,Kinki,4.0,3.5,3.0,,76%,6%,0%,0%,18%
Inari Futaba,4.0,10,,Kinki,,,,,40%,40%,20%,0%,0%
Wanchansu Kyoto,4.5,10,,Kinki,,,,,,,,,
Nha Viet Nam Kyoto,3.5,22,$$ - $$$,Kinki,4.0,4.0,4.0,,22%,52%,13%,4%,9%
Bistro Cerisier,4.5,12,$$ - $$$,Kinki,4.5,4.5,4.0,,41%,51%,0%,8%,0%
Torattoria La Voce,4.5,20,$$ - $$$,Kinki,4.5,4.5,4.0,,43%,51%,6%,0%,0%
Kyogashitsukasa Tomieido,4.0,11,,Kinki,,,,,27%,64%,9%,0%,0%
Okiniya,5.0,7,$$$$,Kinki,,,,,86%,14%,0%,0%,0%
Halal Yakiniku Naritaya,4.0,36,$$ - $$$,Kinki,4.5,4.0,4.0,,55%,16%,8%,5%,16%
Moromine,4.5,10,,Kinki,,,,,50%,40%,10%,0%,0%
Ippin Hashinaga,4.5,12,$$ - $$$,Kinki,4.0,4.0,4.5,,51%,41%,8%,0%,0%
Takao Kinsuiten,4.5,8,,Kinki,,,,,50%,50%,0%,0%,0%
Hatagoya JR Yamashina station,4.0,11,,Kinki,,,,,36%,46%,18%,0%,0%
RESTAURANT&BAR eau de Vie,4.5,17,$$ - $$$,Kinki,4.5,4.5,4.5,,72%,17%,11%,0%,0%
Takanoya World Craft Beer Kyoto,4.5,9,$$ - $$$,Kinki,,,,,78%,11%,0%,0%,11%
Ajisaiya,3.5,22,$$ - $$$,Kinki,4.0,3.5,3.5,,4%,60%,27%,9%,0%
Bistro Petit Lapin,4.5,9,$$ - $$$,Kinki,,,,,67%,33%,0%,0%,0%
Kokenochaya,4.0,12,$$ - $$$,Kinki,,,,,,,,,
Bikkuri donkey Kawaramachi,3.5,27,$$ - $$$,Kinki,3.5,3.5,3.5,,14%,47%,29%,7%,3%
Cafe Opal,4.5,9,$$ - $$$,Kinki,,,,,45%,44%,11%,0%,0%
Rose Room,4.0,15,$$$$,Kinki,4.5,4.5,4.0,,48%,33%,13%,6%,0%
Otafuku,4.5,9,,Kinki,,,,,,,,,
Izakaya Anji Karasuma Rokkaku,4.0,26,$$ - $$$,Kinki,4.0,4.0,4.0,4.0,45%,37%,6%,12%,0%
Nishiki Hirano,4.0,9,$$ - $$$,Kinki,,,,,22%,67%,11%,0%,0%
Sushi Iso,4.0,15,$$ - $$$,Kinki,,,,,41%,40%,13%,0%,6%
Ryokiden,4.5,9,,Kinki,,,,,,,,,
Cafe Frosch,4.5,12,$$ - $$$,Kinki,4.0,4.5,4.5,,51%,33%,8%,8%,0%
Osakana Dekoboko,4.0,13,$$ - $$$,Kinki,4.5,4.5,4.0,,30%,47%,23%,0%,0%
Heso Kyoto Ekimae,4.0,18,$$ - $$$,Kinki,4.0,4.0,4.0,,27%,68%,5%,0%,0%
Ichifuji,4.0,14,$$ - $$$,Kinki,4.0,3.5,3.5,,14%,58%,28%,0%,0%
Shokudo Ogawa,5.0,8,,Kinki,4.5,4.5,4.5,,75%,25%,0%,0%,0%
Cafe Quarirengue,4.5,11,,Kinki,4.5,4.0,4.0,,46%,45%,9%,0%,0%
Kitaroya,5.0,5,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
"Kyo Horumon Kura, Variety Meat (Horumonyaki) Shijo-Teramachi",4.0,11,$$ - $$$,Kinki,,,,,27%,55%,18%,0%,0%
Kurosuke,4.0,14,,Kinki,4.0,3.5,3.5,3.5,21%,58%,21%,0%,0%
Warajiya,4.0,23,$$$$,Kinki,4.0,3.5,3.0,,30%,36%,26%,0%,8%
Oblio,4.0,23,$$ - $$$,Kinki,4.0,4.0,4.0,,40%,22%,33%,5%,0%
Sunny,5.0,14,$$ - $$$,Kinki,,,,,77%,23%,0%,0%,0%
Yayoi,4.5,8,$$ - $$$,Kinki,,,,,,,,,
Prinz,4.0,21,$$ - $$$,Kinki,4.0,4.5,3.5,,37%,51%,0%,0%,12%
Goemon Chaya,4.0,13,$$ - $$$,Kinki,,,,,15%,71%,7%,7%,0%
Sunny Place,4.5,11,$$ - $$$,Kinki,5.0,4.5,4.5,,45%,55%,0%,0%,0%
"Shogetsu, Kawaramachi",4.0,12,$$ - $$$,Kinki,,,,,33%,42%,25%,0%,0%
Sakuraiya,4.0,12,,Kinki,4.5,4.0,4.0,,51%,25%,16%,8%,0%
Kitchen Gon Nishijin,4.0,10,$$ - $$$,Kinki,4.5,3.5,4.0,,30%,60%,10%,0%,0%
Yokoyama,4.5,6,,Kinki,,,,,67%,33%,0%,0%,0%
Wayoshunsai Tsukihi Karasuma,4.0,10,,Kinki,4.5,4.5,4.0,,30%,60%,10%,0%,0%
Copain,4.0,15,$$ - $$$,Kinki,4.5,4.5,4.0,,48%,33%,6%,13%,0%
Kabocha no Tane,4.5,8,,Kinki,,,,,51%,37%,12%,0%,0%
Kitao Gion,4.0,13,,Kinki,,,,,38%,47%,15%,0%,0%
Tempura Kitamura,4.0,11,$$ - $$$,Kinki,4.5,4.0,4.0,,36%,46%,18%,0%,0%
Shinpachi Chaya,4.0,12,,Kinki,4.5,3.5,3.5,,16%,68%,16%,0%,0%
Chugokuryori Saikai,4.0,12,$,Kinki,4.0,4.0,4.0,,33%,51%,16%,0%,0%
Demachi Yunyuu Shokuhin,4.0,13,,Kinki,,,,,40%,30%,30%,0%,0%
Hanagokoro,4.0,11,$$ - $$$,Kinki,4.0,4.0,,,27%,64%,9%,0%,0%
Irish Pub & Restaurant Dublin,3.5,30,$$ - $$$,Kinki,3.5,3.0,3.5,,26%,48%,10%,6%,10%
Tavern New Shinmachi,4.0,17,,Kinki,,,,,,,,,
Izu Kyoto Daimaru,4.5,9,,Kinki,4.5,4.0,3.5,,56%,33%,11%,0%,0%
Kuromame Sa-an Kitao Nishiki,4.0,15,,Kinki,4.0,3.5,3.5,,6%,74%,20%,0%,0%
Omo Cafe,3.5,32,$$ - $$$,Kinki,4.0,3.5,3.5,,22%,39%,25%,11%,3%
Tokiwa,4.5,11,$$$$,Kinki,4.5,4.5,3.5,,55%,27%,9%,9%,0%
Denbe,4.5,7,$$ - $$$,Kinki,,,,,58%,42%,0%,0%,0%
Bifu Tainan Tears 2,4.0,13,,Kinki,,,,,,,,,
Taotei,4.5,10,$$ - $$$,Kinki,,,,,60%,30%,10%,0%,0%
Shokudo Ruins,5.0,6,,Kinki,,,,,84%,16%,0%,0%,0%
Kuchibashi Modern,4.5,8,$$ - $$$,Kinki,4.5,4.0,4.0,,63%,37%,0%,0%,0%
Japanese culinary art Matsucho,4.5,8,$$ - $$$,Kinki,4.5,5.0,4.5,,37%,63%,0%,0%,0%
Kenya,4.0,11,$,Kinki,,,,,27%,55%,18%,0%,0%
Soba Restaurant Nicolas,4.0,18,$$ - $$$,Kinki,,,,,,,,,
Kyoyamato,4.5,8,$$$$,Kinki,,,,,,,,,
Wappado,5.0,7,,Kinki,,,,,,,,,
Yakitori Izakaya Toritaku,4.0,13,,Kinki,4.5,4.5,4.5,4.5,38%,47%,15%,0%,0%
Itadaki,5.0,6,,Kinki,,,,,84%,16%,0%,0%,0%
Coco Ichibanya Kyoto Hanazono,4.5,10,,Kinki,,,,,50%,30%,20%,0%,0%
Ramen Ebisu,4.0,12,$$ - $$$,Kinki,,,,,,,,,
Sushi Fukagawa Ryuji,5.0,5,,Kinki,,,,,100%,0%,0%,0%,0%
Trattoria Leone,4.5,6,,Kinki,,,,,67%,33%,0%,0%,0%
Sojibo Shijokarasuma FT Square,4.0,13,,Kinki,3.5,4.0,3.5,,15%,55%,30%,0%,0%
Cuisine Hanaikada,4.5,10,$$$$,Kinki,,,,,,,,,
Shishiou,4.5,9,$$ - $$$,Kinki,,,,,58%,42%,0%,0%,0%
Takoyaki Yamato,5.0,7,$,Kinki,,,,,86%,14%,0%,0%,0%
Craftman,3.5,37,$$ - $$$,Kinki,3.5,4.0,3.5,,10%,53%,24%,5%,8%
Wachi,4.5,11,$$ - $$$,Kinki,3.5,3.0,3.5,,55%,18%,27%,0%,0%
Centro,4.5,8,$$ - $$$,Kinki,,,,,37%,51%,12%,0%,0%
Gohan Dokoro Yayoiken Kyoto Nijo,4.0,10,$,Kinki,,,,,30%,50%,20%,0%,0%
Hatsunezushi,4.5,11,$$ - $$$,Kinki,,,,,50%,40%,10%,0%,0%
Shogoin Rammaru,4.5,8,,Kinki,,,,,63%,37%,0%,0%,0%
Noku Cafe - Maeda Coffee,4.0,24,$$ - $$$,Kinki,4.0,4.0,4.0,,39%,29%,16%,8%,8%
Kyoto Food HUB & LABO,5.0,6,$$ - $$$,Kinki,,,,,,,,,
Tenkaippin Kyogoku,4.0,17,$$ - $$$,Kinki,4.0,3.5,3.5,,11%,67%,17%,5%,0%
Kumamoto Sogo Inshokuten Mao,4.0,13,,Kinki,,,,,23%,54%,23%,0%,0%
Jumelle 29,4.5,7,,Kinki,,,,,58%,42%,0%,0%,0%
Rakuda,4.0,13,,Kinki,4.5,3.5,3.0,,23%,62%,15%,0%,0%
"Kiraku, Asahido Honten",4.0,9,$$ - $$$,Kinki,,,,,33%,56%,11%,0%,0%
Hanagoyomi,4.0,10,,Kinki,4.0,4.5,3.0,,30%,50%,20%,0%,0%
"Piccollo Mondo, Yamada Honten",4.5,10,,Kinki,,,,,40%,60%,0%,0%,0%
Higuchitei,4.5,7,,Kinki,,,,,72%,14%,14%,0%,0%
Uomasa,4.5,8,,Kinki,,,,,,,,,
Shinshintei Ichijoji,4.5,8,$$ - $$$,Kinki,,,,,,,,,
Koshihata Friend Park Matsubara,4.5,9,,Kinki,,,,,33%,67%,0%,0%,0%
Octavar,4.0,15,,Kinki,,,,,,,,,
Osteria Bastille,4.0,10,$$ - $$$,Kinki,4.0,4.0,3.0,,30%,60%,10%,0%,0%
Miyata Nooodle,4.5,7,$$ - $$$,Kinki,,,,,28%,72%,0%,0%,0%
Washoku Shiki,5.0,5,$$$$,Kinki,,,,,100%,0%,0%,0%,0%
Yayoi-Ken Kawara-Machi Sanjo,4.0,9,,Kinki,,,,,45%,33%,22%,0%,0%
Iwawo,3.5,20,$$ - $$$,Kinki,4.0,4.0,4.0,,15%,55%,20%,5%,5%
Ikkyutei,4.5,11,,Kinki,,,,,55%,27%,9%,9%,0%
Sarasasan,4.0,23,$$ - $$$,Kinki,4.0,3.5,3.5,,32%,30%,30%,4%,4%
Bar Otro Mundo-Japanese Tapas,4.5,10,,Kinki,,,,,80%,10%,0%,10%,0%
Enotheca Via Saiaria,5.0,6,,Kinki,,,,,84%,16%,0%,0%,0%
Takekishi,5.0,6,,Kinki,,,,,,,,,
Kamehachi Bekkan,5.0,6,$$ - $$$,Kinki,,,,,84%,16%,0%,0%,0%
Kyoyakinikukikyo,4.0,22,$$ - $$$,Kinki,4.0,3.5,3.5,,37%,35%,23%,5%,0%
Sarashina-main branch,4.5,8,,Kinki,,,,,37%,63%,0%,0%,0%
Kagonoya Kitaoji Shimogamo,4.5,11,,Kinki,,,,,36%,55%,9%,0%,0%
Yakitori Ichiban Hachijoguchi,4.0,17,,Kinki,,,,,44%,35%,5%,11%,5%
Iori Kyoto Daimaru,4.0,13,,Kinki,4.0,4.5,3.5,,15%,55%,30%,0%,0%
Kyo Yubadokoro Seike Nishijin,4.5,8,,Kinki,,,,,63%,25%,12%,0%,0%
Eishotei,4.5,10,,Kinki,,,,,50%,30%,20%,0%,0%
Fugetsu CLASSIC Kyoto,4.0,11,$$ - $$$,Kinki,,,,,46%,36%,9%,0%,9%
Sushi Imai,4.5,8,,Kinki,,,,,76%,12%,12%,0%,0%
Ryuen,4.5,11,,Kinki,4.5,4.5,4.0,,55%,27%,9%,9%,0%
Thai Curry Aozora,4.5,11,$$ - $$$,Kinki,,,,,36%,55%,9%,0%,0%
Sandaya Honten Takaraga-Ike,4.0,15,,Kinki,,,,,36%,46%,18%,0%,0%
Kyou Karasuma,4.5,8,$$ - $$$,Kinki,,,,,76%,12%,12%,0%,0%
Mochiyaki Senbei Terakoya Main shop Ichiba,3.5,21,,Kinki,4.0,4.0,4.0,,14%,33%,53%,0%,0%
"Izusen, Murasakino",4.0,14,$$ - $$$,Kinki,4.5,3.5,3.5,,21%,51%,28%,0%,0%
Iki Iki Udon Kyoto,4.0,14,,Kinki,,,,,,,,,
Minmin Gion,4.5,11,,Kinki,4.0,3.5,4.5,,55%,18%,27%,0%,0%
Yoshoku No Mise Mishina,4.0,10,$$ - $$$,Kinki,,,,,20%,70%,10%,0%,0%
"Namaste Dhaulagiri, Higashiyama Yasui",5.0,22,$$ - $$$,Kinki,5.0,5.0,5.0,,82%,18%,0%,0%,0%
Maha Curry,4.5,7,,Kinki,,,,,58%,42%,0%,0%,0%
Pad Thai,4.5,6,,Kinki,,,,,50%,50%,0%,0%,0%
Yataiya Karasuma,4.0,9,$$ - $$$,Kinki,,,,,22%,78%,0%,0%,0%
Italian bar datten,4.0,18,$$ - $$$,Kinki,4.0,3.5,3.0,,63%,11%,5%,5%,16%
Neuf Creperie,4.0,9,$$ - $$$,Kinki,4.0,4.0,4.0,,22%,67%,11%,0%,0%
Kyokabutoya,4.5,9,,Kinki,,,,,56%,22%,22%,0%,0%
Kyorakuniku Cuisine Isshin,4.0,14,$$$$,Kinki,4.5,4.5,4.5,,51%,35%,0%,7%,7%
Gusto Kyoto Shijo-Omiya,4.0,19,$$ - $$$,Kinki,3.5,4.0,3.5,,26%,43%,31%,0%,0%
Walden Woods Kyoto,4.5,7,$,Kinki,,,,,,,,,
Savoury,4.5,9,,Kinki,,,,,56%,22%,22%,0%,0%
Takasegawa Qulio,4.0,24,$$ - $$$,Kinki,4.0,4.0,4.0,,33%,46%,11%,5%,5%
Cafe Rumbita,4.5,8,$,Kinki,,,,,76%,12%,0%,12%,0%
The Roots of all evil.,4.5,10,$$ - $$$,Kinki,,,,,80%,0%,10%,0%,10%
Isobe,4.0,15,$$ - $$$,Kinki,5.0,4.5,4.5,,48%,38%,7%,0%,7%
Sammikoan Honten,4.0,9,$$ - $$$,Kinki,4.5,4.5,4.0,,33%,56%,11%,0%,0%
Torigara Ramen Monsen Kiyamachi,4.5,10,,Kinki,,,,,80%,10%,0%,0%,10%
Bar Louis Xiv,5.0,6,,Kinki,,,,,84%,16%,0%,0%,0%
Chifaja Nijo,4.0,21,$$ - $$$,Kinki,,,,,,,,,
Bozu Bar,4.0,11,$$ - $$$,Kinki,,4.0,4.0,,46%,27%,27%,0%,0%
Cafe & Dining Fleur Kyoto,4.0,19,$$ - $$$,Kinki,,,,,,,,,
Sarasakayukoji,4.5,12,$$ - $$$,Kinki,4.5,4.0,3.5,,59%,33%,0%,0%,8%
Matono,4.5,7,$$$$,Kinki,,,,,,,,,
Restaurant Madoi,4.5,9,$$ - $$$,Kinki,,,,,,,,,
Gion Manju,4.0,12,$,Kinki,,,,,,,,,
Handmade Udon Shofukutei,4.0,9,,Kinki,,,,,22%,67%,11%,0%,0%
Capo,5.0,6,,Kinki,,,,,84%,16%,0%,0%,0%
Curry & Bar Kathmandu,5.0,7,,Kinki,,,,,100%,0%,0%,0%,0%
Shizuya Shichijo,4.0,12,,Kinki,,,,,43%,16%,41%,0%,0%
Benkei Udon Nishi Kyogoku,4.5,9,,Kinki,,,,,33%,67%,0%,0%,0%
AWOMB Nishikiyamachi,4.5,7,$$ - $$$,Kinki,,,,,58%,28%,14%,0%,0%
Umaimonya Sakura,4.0,10,,Kinki,,,,,,,,,
Comme Ci Comme Ca,4.5,12,$$ - $$$,Kinki,5.0,4.5,4.0,4.5,67%,25%,8%,0%,0%
Kyoto Nadaman Hinkan,5.0,5,,Kinki,,,,,100%,0%,0%,0%,0%
Nakajin,4.5,11,$$$$,Kinki,5.0,4.0,4.5,4.0,36%,55%,9%,0%,0%
Wagokoro Izumi,4.5,10,$$$$,Kinki,5.0,4.5,4.5,,70%,20%,0%,0%,10%
Nokishita Edible Garden,5.0,7,,Kinki,,,,,86%,14%,0%,0%,0%
Ramen Hikosaku,4.5,8,$$ - $$$,Kinki,4.5,3.5,4.0,,51%,37%,12%,0%,0%
Ramen Kassai,4.5,9,,Kinki,,,,,56%,44%,0%,0%,0%
Second House Higashinotoin,4.0,26,$$ - $$$,Kinki,4.0,3.5,3.5,,31%,45%,18%,0%,6%
Kroon,4.0,9,,Kinki,,,,,33%,56%,11%,0%,0%
Nagomiya Ren,4.0,14,$$ - $$$,Kinki,4.0,4.0,3.5,,51%,35%,0%,0%,14%
Ko Yebisu,4.0,10,,Kinki,,,,,20%,70%,10%,0%,0%
Bon Bon Cafe,4.0,15,$$ - $$$,Kinki,,,,,,,,,
Hokkoriya,4.5,11,$$ - $$$,Kinki,,,,,,,,,
La Cucina Italiana,4.5,7,,Kinki,,,,,72%,28%,0%,0%,0%
RUTUBO,5.0,5,$$$$,Kinki,,,,,80%,20%,0%,0%,0%
Sakaba Ikuramokuzai,5.0,5,,Kinki,,,,,100%,0%,0%,0%,0%
Ushinosuke,4.5,17,$$ - $$$,Kinki,,,,,67%,11%,22%,0%,0%
Cafe De 505,4.5,8,$$ - $$$,Kinki,4.5,3.5,3.0,,25%,75%,0%,0%,0%
Nijo Kizuki,4.5,7,$$$$,Kinki,,,,,58%,42%,0%,0%,0%
Shogoin Gotenso,4.5,8,$$ - $$$,Kinki,,,,,,,,,
Gion Matsuno,3.5,27,$$ - $$$,Kinki,4.5,4.5,3.5,,22%,39%,25%,11%,3%
Cafe Rorian,5.0,5,,Kinki,,,,,,,,,
"Monsen, Fushimi Sakagura",5.0,5,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Kaya Bar Kotochika Kyoto,4.0,14,,Kinki,,,,,28%,37%,28%,0%,7%
Soba Charyo Sawamasa,4.5,8,,Kinki,5.0,4.5,4.0,,50%,50%,0%,0%,0%
"Umi no Homare, Aeon Mall Katsuraawa",4.5,8,,Kinki,,,,,37%,63%,0%,0%,0%
Kyo No Aji Dokoro Uemura,4.5,7,,Kinki,,,,,,,,,
Royal Host Kitayama,3.5,18,$$ - $$$,Kinki,,,,,,,,,
Rakuza Kyoto Main shop,4.5,9,$$ - $$$,Kinki,,,,,33%,67%,0%,0%,0%
Casareccio,4.5,7,$$ - $$$,Kinki,,,,,58%,42%,0%,0%,0%
Casa Bianca,4.0,14,$$ - $$$,Kinki,4.5,4.0,3.5,,28%,51%,14%,7%,0%
Ramen Kyoryu,4.0,9,,Kinki,,,,,22%,67%,11%,0%,0%
Oafu,4.0,15,$,Kinki,,,,,,,,,
Taizo,4.5,6,,Kinki,,,,,67%,33%,0%,0%,0%
Okuda,4.0,13,,Kinki,,,,,30%,56%,7%,7%,0%
Ohitsu Gohan Shirokujichu Kyoto Yodobashi,4.0,14,$$ - $$$,Kinki,,,,,21%,44%,28%,7%,0%
Kushi Hachi Shin Horikawa,4.0,11,,Kinki,4.5,3.5,4.5,,18%,55%,27%,0%,0%
Kitchen Gon Gosehigashi,4.5,10,,Kinki,4.5,4.0,4.0,,30%,70%,0%,0%,0%
Kappo Taira,4.5,7,$$ - $$$,Kinki,,,,,58%,42%,0%,0%,0%
Chibo Kyoto Shijo Kawaramachi,4.0,11,$$ - $$$,Kinki,4.0,4.0,3.0,,27%,37%,36%,0%,0%
Sankyuu,4.5,7,,Kinki,,,,,,,,,
Kukai,5.0,6,,Kinki,,,,,84%,16%,0%,0%,0%
Trattoria Luciano,4.5,8,,Kinki,,,,,,,,,
Izumoya,3.5,41,$$ - $$$,Kinki,4.0,4.0,4.0,4.5,14%,44%,31%,4%,7%
Hyaku,4.0,13,$,Kinki,3.5,3.5,4.5,,7%,70%,23%,0%,0%
Shunai Sasaki,4.5,7,$$$$,Kinki,,,,,72%,28%,0%,0%,0%
Chukaryoritaiho,4.0,12,$,Kinki,4.0,3.5,3.0,,25%,50%,25%,0%,0%
Koto Lounge,4.5,8,,Kinki,,,,,25%,75%,0%,0%,0%
Shinoomiya Chuka No Sakai Main Store,4.0,16,,Kinki,4.0,3.0,4.0,,32%,31%,31%,6%,0%
Belgian Beer Sanjo Madobe,5.0,6,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Indian Restaurant Tadka,4.0,15,$$ - $$$,Kinki,4.0,4.0,3.5,,48%,20%,20%,6%,6%
Japanese Restaurant Now Joy Kinkakuji,4.0,12,$$ - $$$,Kinki,,,,,34%,33%,33%,0%,0%
Colombo,4.5,8,,Kinki,,,,,,,,,
Araumado,3.5,18,$$ - $$$,Kinki,4.0,3.5,4.0,,5%,57%,33%,5%,0%
Sinamo,4.0,13,,Kinki,,,,,,,,,
Griddle Force,5.0,5,$$$$,Kinki,,,,,,,,,
Magobei,3.5,17,$$ - $$$,Kinki,4.0,3.5,3.5,,23%,23%,54%,0%,0%
ReaBon French Restaurant,4.5,8,,Kinki,,,,,25%,75%,0%,0%,0%
Kyotomi,4.0,10,$$ - $$$,Kinki,,,,,40%,30%,30%,0%,0%
McDonald's Karasuma 5jo,4.0,16,$,Kinki,3.5,3.5,3.5,,25%,38%,31%,6%,0%
Kakouokamoto,4.5,7,$$$$,Kinki,,,,,,,,,
Epice,4.0,29,$$ - $$$,Kinki,4.5,4.0,4.0,4.0,30%,45%,7%,11%,7%
Tsuruya Yoshinobu Kayujaya,4.0,12,,Kinki,4.0,4.5,4.0,,16%,68%,16%,0%,0%
Le Bouchon T,5.0,6,$$ - $$$,Kinki,,,,,84%,16%,0%,0%,0%
Manpuku,4.0,11,$$ - $$$,Kinki,,,,,36%,46%,18%,0%,0%
Bubuya,4.5,8,$$ - $$$,Kinki,4.0,4.0,3.5,,51%,37%,12%,0%,0%
Koufukudou,4.0,17,$$ - $$$,Kinki,,3.5,3.5,,43%,35%,11%,0%,11%
Saint Marc Cafe Kyoto Teramachi,3.5,15,$$ - $$$,Kinki,4.0,3.5,4.0,,13%,47%,40%,0%,0%
Tokuhisa,4.5,9,,Kinki,,,,,,,,,
Taikarekoanosuke,4.5,9,$$ - $$$,Kinki,5.0,4.0,4.0,,33%,67%,0%,0%,0%
Gyoza no Osho Takaragaiketen,4.0,14,,Kinki,3.0,3.0,4.5,,28%,28%,44%,0%,0%
CAFE Cento Cento,3.5,36,$$ - $$$,Kinki,4.0,3.5,4.0,4.5,17%,52%,21%,7%,3%
La Masa,4.5,11,$$ - $$$,Kinki,,,,,,,,,
Machishuryori Kyomon,4.5,8,,Kinki,,,,,50%,50%,0%,0%,0%
Kagonoya Kitano Hakubaicho,4.0,12,$$ - $$$,Kinki,,,,,51%,25%,16%,8%,0%
Jinrai,4.5,8,,Kinki,,,,,,,,,
Coco Ichibanya Imadegawa,4.0,16,$$ - $$$,Kinki,,,,,12%,51%,37%,0%,0%
Misonobashi Chuka-no-Sakai,4.0,12,,Kinki,,,,,,,,,
Ryozampaku,4.5,12,,Kinki,4.5,4.0,3.5,,59%,25%,0%,16%,0%
Matsuya Kyoto Sanjo,4.0,10,$,Kinki,,,,,20%,60%,20%,0%,0%
Osteria Ogino,4.0,9,$$ - $$$,Kinki,,,,,22%,67%,11%,0%,0%
"Pontoiru, Kyoto Station Building",3.5,34,$$ - $$$,Kinki,3.5,3.5,3.0,,14%,25%,58%,3%,0%
Yamadaruma,4.5,16,$$ - $$$,Kinki,,,,,64%,27%,0%,0%,9%
Osaka-ya,3.5,17,$,Kinki,,,,,,,,,
Daimaru Family Shokudo,4.5,8,,Kinki,,,,,25%,75%,0%,0%,0%
