JapneseName,EnglishName,TotalRating,NearstStation,FoodCategory,PhoneNumber,LunchRating,DinnerRating,ReviewCounts,Dishes,Service,Atmosphere,Cost performance,Drink
サンタ・マリア・ノヴェッラ・ティサネリーア 京都店,Santa Maria Novella Tisaneria,3.59,Karasuma,Natural food,+81-75-254-8692,3.57,3.61,123,3.59,3.58,3.58,3.54,3.58
モリタ屋 JR京都伊勢丹店,Moritaya,3.59,Kyoto,Sukiyaki,+81-75-365-7788,3.62,3.58,122,3.59,3.58,3.58,3.55,3.51
プチレストラン ないとう,Puchiresutorannaitou,3.59,Marutamachi,Western Cuisine,+81-50-5593-7906,3.52,3.59,120,3.59,3.58,3.60,3.58,3.58
つけめん 恵那く,Tsukemenenaku,3.59,Ichijoji,Tsukemen,+81-75-201-1931,3.54,3.58,120,3.59,3.56,3.56,3.57,3.08
ひつじ,Hitsuji,3.59,Marutamachi,Donut,+81-75-221-6534,3.16,3.59,119,3.59,3.58,3.58,3.58,3.50
エンボカ京都,En boca,3.59,Karasuma Oike,Pizza,+81-75-253-0870,3.57,3.56,111,3.59,3.57,3.61,3.57,3.56
Bar K6,Bakeshikkusu,3.59,Kyoto Shiyakusho,Bar,+81-75-255-5009,3.59,3.02,110,3.58,3.58,3.58,3.58,3.59
レディオベーグル,Radio Bagel‎,3.59,Kitayama,Bagel,+81-75-724-2274,3.08,3.59,109,3.60,3.55,3.57,3.56,3.39
サロン・ド・ロワイヤル 京都店,Sarondorowaiyaru,3.59,Kyoto Shiyakusho,Chocolate,+81-75-211-4121,3.48,3.59,105,3.59,3.58,3.61,3.51,3.53
頑固麺,Gankomen,3.59,Fujinomori,Ramen,+81-75-643-7337,3.51,3.59,102,3.59,3.57,3.57,3.58,3.48
満寿形屋,Masugataya,3.59,Demachiyanagi,Sushi,+81-75-231-4209,3.07,3.59,101,3.59,3.58,3.58,3.58,3.10
太陽カレー,Taiyoukare,3.59,Sai,Curry rice,+81-75-311-0011,3.27,3.59,101,3.59,3.58,3.58,3.59,3.33
二條若狭屋 寺町店,Nijouwakasaya,3.59,Kyoto Shiyakusho,Japanese sweets,+81-75-256-2280,3.06,3.59,98,3.59,3.58,3.58,3.55,3.24
宮武,Miyatake,3.59,Tambaguchi,Seafood,+81-75-203-1855,3.60,3.58,94,3.59,3.59,3.58,3.65,3.58
インド食堂TADKA,Indoshokudoutaruka,3.59,Karasuma Oike,India cuisine,+81-75-212-8872,3.41,3.58,92,3.59,3.56,3.57,3.58,3.52
神馬堂,Jimbadou,3.59,Kitayama,Japanese sweets,+81-75-781-1377,3.07,3.59,91,3.59,3.40,3.57,3.58,3.04
シェ・アガタ,Chez Hagata,3.59,Mimurodo,Cake,+81-774-20-6025,3.08,3.59,87,3.59,3.53,3.53,3.54,3.00
ザ・コモン・ワン・バー・キョウト,The Common One Bar Kyoto,3.59,Gion Shijo,Bar,+81-75-561-5644,3.59,-,86,3.39,3.59,3.72,3.59,3.58
老松 北野店,Oimatsu,3.59,Kitano Hakubaich,Japanese sweets,+81-75-463-3050,3.01,3.59,80,3.60,3.58,3.59,3.52,3.07
たん熊北店 本店,Tankumakitamise,3.59,Kawaramachi,Kyoto Cuisine,+81-50-5868-7937,3.52,3.62,79,3.60,3.55,3.53,3.55,3.41
italiana SAGRA,itaria-nasagura,3.59,Gion Shijo,Italian,+81-50-5594-8429,3.58,3.51,79,3.58,3.58,3.66,3.53,3.58
ピエール・エルメ・パリ ザ・リッツ・カールトン京都,PIERRE HERME PARIS,3.59,Kyoto Shiyakusho,Cake,+81-75-746-5555,3.07,3.59,79,3.59,3.59,3.60,3.52,3.15
eight,Eight,3.59,Fujinomori,Bread,+81-75-645-7131,3.22,3.59,77,3.59,3.54,3.58,3.58,3.04
月村,Tsukimura,3.59,Kawaramachi,Kamameshi (Clay pot rice),+81-75-351-5306,3.59,3.07,72,3.59,3.58,3.58,3.56,3.53
馬耳東風,Bajitoufuu,3.59,Karasuma,Yakitori (Grilled chicken),+81-75-255-1311,3.59,-,70,3.59,3.58,3.58,3.59,3.54
モリタ屋 四条猪熊本店,Moritaya,3.59,Omiya,Sukiyaki,+81-75-842-0298,3.60,3.54,70,3.59,3.59,3.58,3.43,3.27
ナヤ インディア ヌール,NAYA INDIA NOOR,3.59,Kuramaguchi,India cuisine,+81-75-414-6300,3.52,3.59,69,3.59,3.51,3.55,3.53,3.54
セアブラノ神 伏見剛力,seaburanokamifushimigouriki,3.59,Fushimi,Ramen,+81-75-642-5252,3.58,3.58,66,3.59,3.57,3.57,3.57,3.24
ラ・ロカンダ ザ・リッツ・カールトン京都,La Locanda,3.59,Kyoto Shiyakusho,Italian,+81-75-746-5522,3.58,3.58,65,3.59,3.66,3.77,3.56,3.58
茶菓円山,Sakamaruyama,3.59,Higashiyama,Sweets,+81-75-551-3707,3.06,3.59,64,3.61,3.60,3.71,3.58,3.58
ひさご寿し 河原町本店,Hisagozushi,3.59,Kawaramachi,Sushi,+81-75-221-5409,3.51,3.59,60,3.59,3.58,3.58,3.58,3.51
鴨川たかし,Kamogawatakashi,3.59,Jingu Marutamach,Yakiniku (BBQ Beef),+81-50-5589-7866,3.56,3.59,59,3.59,3.58,3.59,3.59,3.46
いづう 京都大丸店,Iduu,3.59,Karasuma,Sushi,+81-75-211-8111,3.18,3.63,53,3.59,3.37,3.16,3.52,3.03
旬菜 いまり,Shunsaiimari,3.59,Karasuma Oike,Izakaya (Tavern),+81-50-5869-6817,3.55,3.57,53,3.59,3.56,3.58,3.56,3.53
五,Itsutsu,3.59,Kitaoji,Soba,+81-75-494-0500,3.52,3.59,46,3.59,3.57,3.59,3.58,3.55
たかはし,Takahashi,3.59,Karasuma,Bar,+81-50-5595-5727,3.59,-,45,3.56,3.24,3.51,3.53,3.60
京やきにく弘 八坂邸,Kyouyakinikuhiroyasakatei,3.59,Gion Shijo,Yakiniku (BBQ Beef),+81-75-525-4129,3.59,3.08,45,3.58,3.58,3.65,3.58,3.53
料理旅館・天ぷら吉川,Ryouriryokantempurayoshikawa,3.59,Kyoto Shiyakusho,Tempura,+81-75-221-5544,3.52,3.61,45,3.59,3.57,3.60,3.59,3.55
TAKASEGAWA,Takasegawa,3.59,Gion Shijo,Sumibiyaki,+81-50-5872-6074,3.59,-,45,3.59,3.56,3.58,3.56,3.54
きたざと,Kitazato,3.59,Gion Shijo,Kappo (Traditional Japanese),+81-75-561-0150,3.59,-,43,3.59,3.58,3.69,3.59,3.58
パティスリー タツヒト サトイ,Patisserie TATSUHITO SATOI,3.59,Mototanaka,Cake,+81-75-285-1171,3.06,3.59,40,3.59,3.58,3.58,3.58,3.55
ル・ピックアシエット,Le pique-assiette,3.59,Kiyomizu Gojo,French,+81-75-531-9850,3.55,3.59,38,3.59,3.58,3.58,3.61,3.52
オハヨー ビスケット,OHAYO biscuit,3.59,Imadegawa,Cake,+81-75-411-9179,-,3.59,37,3.59,3.56,3.58,3.57,3.24
Dari K 祇園あきしの店,Darike,3.59,Gion Shijo,Chocolate,+81-75-803-6456,3.09,3.59,36,3.60,3.58,3.58,3.56,3.14
喜幸,kiiko,3.59,Gion Shijo,Kappo (Traditional Japanese),+81-75-351-7856,3.59,3.07,33,3.60,3.55,3.61,3.33,3.51
和菓子店 青洋,wagashimiseseiyou,3.59,Kitaoji,Japanese sweets,,-,3.59,24,3.58,3.55,3.54,3.54,-
閑臥庵,Kangaan,3.59,Kuramaguchi,Kyoto Cuisine,+81-75-256-2480,3.56,3.58,22,3.58,3.58,3.93,3.59,3.58
柊家 別館,Hiiragiya,3.59,Kyoto Shiyakusho,Ryokan,+81-75-231-0151,3.59,3.28,20,3.58,3.51,3.57,3.62,3.28
京 翠嵐,Kyousuiran,3.59,Arashiyama Torok,Kaiseki (Traditional Japanese),+81-75-872-1555,3.57,3.60,15,3.58,3.61,3.71,3.51,3.51
リストランテ オラエ祇園,Risutoranteoraegion,3.59,Gion Shijo,Italian,+81-50-5592-8255,3.59,3.06,14,3.59,3.59,3.59,3.57,3.54
杦,Sen,3.59,Gojo,Kaiseki (Traditional Japanese),+81-75-361-8873,3.59,-,11,3.61,3.56,3.54,3.59,3.52
文珠荘 松露亭,Monjusoushourotei,3.59,Amanohashidate,Ryokan,+81-772-22-2151,3.59,3.50,10,3.59,3.59,3.63,3.53,3.56
ラ・プレーヌ・リュヌ ,Rapurenuryunu,3.59,Marutamachi,French,+81-75-251-2570,3.31,3.57,8,3.59,3.62,3.57,3.60,3.58
りょうりや 御旅屋,Ryouriyaotaya,3.59,Kawaramachi,Kyoto Cuisine,+81-75-343-1513,3.59,3.52,9,3.59,3.61,3.63,3.60,3.59
晴鴨楼,Seikourou,3.59,Kiyomizu Gojo,Kaiseki (Traditional Japanese),+81-75-561-0771,3.59,3.59,9,3.60,3.61,3.59,3.51,3.50
ゑび秀,Ebisu,3.59,"Gion, Kiyomizu",Kaiseki (Traditional Japanese),,3.59,-,8,3.59,3.55,3.57,3.58,3.52
鮨 和魂,Sushiwakon,3.59,Shichijo,Sushi,+81-75-541-8176,3.57,3.51,8,3.59,3.73,3.73,3.54,3.62
竹濱義春,Takehamayoshiharu,3.59,Kitaoji,Japanese sweets,+81-75-441-8045,-,3.59,8,3.59,3.59,3.54,3.55,-
さえき,Saeki,3.59,Keage,Sushi,+81-75-761-6202,3.59,3.51,8,3.59,3.60,3.66,3.52,3.07
味野里香,Minoriko,3.59,Karasuma Oike,Kyoto Cuisine,+81-75-256-2256,3.59,-,7,3.59,3.59,3.58,3.58,3.59
イノダコーヒ 本店,INODA COFFEE,3.58,Karasuma Oike,Coffee shoppe,+81-75-221-0507,3.09,3.58,761,3.58,3.58,3.59,3.50,3.57
麺や高倉二条,Menyatakakuranijou,3.58,Marutamachi,Tsukemen,+81-75-255-9575,3.53,3.58,447,3.58,3.56,3.58,3.54,3.10
和醸良麺 すがり,Wajouryoumensugari,3.58,Shijo,Ramen,}:～￥999,3.54,3.58,413,3.58,3.52,3.65,3.48,3.20
伊藤久右衛門 本店,Itoukyuuemon,3.58,Uji,Sweets,+81-774-23-3955,3.09,3.58,396,3.58,3.55,3.56,3.53,3.50
スマート珈琲店,Smart Coffee,3.58,Kyoto Shiyakusho,Traditional Café,+81-75-231-6547,3.14,3.58,390,3.58,3.56,3.58,3.53,3.55
マールブランシュ 北山本店,Maruburanshu,3.58,Kitayama,Cake,+81-75-722-3399,3.23,3.58,368,3.58,3.56,3.56,3.50,3.45
はしたて,Hashitate,3.58,Kyoto,Donburi (other),+81-75-343-4440,3.55,3.58,354,3.58,3.58,3.57,3.53,3.08
茶寮都路里 京都伊勢丹店,Saryoutsujiri,3.58,Kyoto,Sweets,+81-75-352-6622,3.23,3.58,337,3.58,3.53,3.54,3.51,3.36
京都 五行,Kyoutogogyou,3.58,Karasuma,Izakaya (Tavern),+81-75-254-5567,3.52,3.55,336,3.58,3.57,3.58,3.53,3.50
マールブランシュ JR京都伊勢丹店,Maruburanshu,3.58,Kyoto,Cake,+81-75-343-2727,3.15,3.58,311,3.58,3.54,3.56,3.50,3.26
フランソア喫茶室,Salon de the FRANCOIS,3.58,Kawaramachi,Traditional Café,+81-75-351-4042,3.53,3.58,295,3.58,3.56,3.68,3.52,3.58
おかる,Okaru,3.58,Gion Shijo,Udon,+81-75-541-1001,3.58,3.58,295,3.58,3.52,3.56,3.55,3.43
京極スタンド,Kyougokusutando,3.58,Kawaramachi,Izakaya (Tavern),+81-75-221-4156,3.55,3.54,295,3.56,3.58,3.63,3.58,3.55
特製ラーメン 大中 本店,tokuseira-mendaichuu,3.58,Momoyamagoryomae,Ramen,+81-75-603-2712,3.57,3.58,287,3.58,3.54,3.56,3.60,3.30
ワルダー,Waruda,3.58,Kawaramachi,Bread,+81-75-256-2850,3.09,3.58,287,3.58,3.54,3.58,3.55,3.08
加茂みたらし茶屋,Kamomitarashichaya,3.58,Demachiyanagi,Sweets,+81-75-791-1652,3.09,3.58,282,3.58,3.52,3.55,3.54,3.08
ぎをん 小森,Giwonkomori,3.58,Gion Shijo,Sweets,+81-75-561-0504,3.51,3.58,274,3.58,3.54,3.63,3.11,3.34
嵐山よしむら,Arashiyamayoshimura,3.58,Arashiyama,Soba,+81-75-863-5700,3.25,3.58,268,3.58,3.58,3.67,3.55,3.39
大黒ラーメン 本店,Daikokuramen,3.58,Momoyamagoryomae,Ramen,+81-75-612-3153,3.51,3.58,252,3.58,3.56,3.57,3.76,3.08
高台寺 洛匠,Koudaijirakushou,3.58,Gion Shijo,Sweets,+81-75-561-6892,3.19,3.58,248,3.58,3.51,3.58,3.51,3.29
京都千丸しゃかりき,Kyoutosemmarushakariki,3.58,Nijo,Tsukemen,+81-75-813-5198,3.53,3.56,233,3.58,3.54,3.52,3.53,3.10
南禅寺 順正,Nanzenjijunsei,3.58,Keage,"Tofu, Yuba",+81-75-761-2311,3.58,3.58,230,3.58,3.58,3.63,3.58,3.51
本家 尾張屋 本店,Honkeowariya,3.58,Karasuma Oike,Soba,+81-75-231-3446,3.48,3.58,229,3.58,3.58,3.61,3.58,3.50
カフェ ビブリオティック ハロー!,Cafe Bibliotic Hello!,3.58,Marutamachi,Cafe,+81-75-231-8625,3.34,3.58,222,3.58,3.52,3.58,3.51,3.51
担担 四条本店,Tantan,3.58,Shijo Omiya,Dandan noodles,+81-75-822-5211,3.51,3.58,221,3.58,3.49,3.48,3.53,3.05
エフィッシュ,Efisshu,3.58,Kiyomizu Gojo,Cafe,+81-75-361-3069,3.35,3.58,217,3.58,3.56,3.66,3.50,3.52
天天有 本店,Tentenyuu,3.58,Ichijoji,Ramen,+81-75-711-3255,3.57,3.51,211,3.58,3.51,3.50,3.58,3.00
ダ ユウキ,Da Yuki,3.58,Higashiyama,Pizza,+81-75-761-6765,3.55,3.57,210,3.57,3.53,3.52,3.51,3.23
風来房,Fuuraibou,3.58,Nagaokakyo,Tsukemen,+81-75-951-1747,3.58,3.59,208,3.59,3.53,3.53,3.56,3.00
おめん 銀閣寺本店,Omen,3.58,Mototanaka,Udon,+81-75-771-8994,3.12,3.58,205,3.58,3.54,3.58,3.50,3.11
富田屋,Tondaya,3.58,Miyazu,Seafood,+81-772-22-0015,3.54,3.58,202,3.58,3.32,3.55,3.69,3.00
ブション,Le Bouchon,3.58,Kyoto Shiyakusho,French,+81-75-211-5220,3.58,3.55,193,3.58,3.56,3.58,3.58,3.53
中村藤吉 平等院店,Nakamuratoukichi,3.58,Uji,Sweets,+81-774-22-9500,3.08,3.58,189,3.58,3.55,3.58,3.50,3.41
篠田屋,Shinodaya,3.58,Sanjo,table d'hôte,+81-75-752-0296,3.40,3.58,187,3.58,3.51,3.58,3.59,3.07
生がきの大安,namagakinodaiyasu,3.58,Karasuma,Seafood,+81-75-221-0246,3.52,3.58,183,3.58,3.52,3.54,3.52,3.53
たつみ,Tatsumi,3.58,Kawaramachi,Izakaya (Tavern),+81-75-256-4821,3.55,3.56,180,3.58,3.53,3.56,3.58,3.52
老松 嵐山店,Oimatsu,3.58,Arashiyama,Sweets,+81-75-881-9033,-,3.58,179,3.58,3.52,3.56,3.47,3.30
グランディール 下鴨店,Gurandhiru,3.58,Kitayama,Bread,+81-75-701-3956,3.09,3.58,176,3.58,3.51,3.53,3.53,3.00
松之助 京都本店,Matsunosuke,3.58,Karasuma Oike,Cafe,+81-75-253-1058,3.10,3.58,174,3.58,3.51,3.53,3.48,3.44
デザートカフェ長楽館,deza-tokafechourakukan,3.58,Higashiyama,Cafe,+81-75-561-0001,3.12,3.58,174,3.58,3.58,3.73,3.54,3.58
膳處漢ぽっちり,Zezekampocchiri,3.58,Karasuma,Chinese,+81-75-257-5766,3.55,3.58,169,3.58,3.58,3.60,3.53,3.53
ラ・ヴァチュール,La Voiture,3.58,Jingu Marutamach,Cake,+81-75-751-0591,3.19,3.58,163,3.58,3.54,3.57,3.32,3.50
紫蔵,Shikura,3.58,Kitano Hakubaich,Ramen,+81-75-462-3737,3.58,3.58,163,3.58,3.57,3.58,3.57,3.24
フルーツパーラーヤオイソ,Furutsuparayaoiso,3.58,Omiya,Fruit parlour,+81-75-841-0353,3.08,3.58,155,3.58,3.52,3.52,3.55,3.53
日の出うどん,Hinodeudon,3.58,Keage,Curry Udon,+81-75-751-9251,3.07,3.58,155,3.58,3.58,3.58,3.58,3.00
キラメキノトリ,Kiramekinotori,3.58,Jingu Marutamach,Ramen,+81-75-231-2505,3.51,3.58,153,3.58,3.54,3.54,3.53,3.13
うめぞの カフェアンドギャラリー,Umezonokafeandogyarari,3.58,Karasuma,Sweets,+81-75-241-0577,3.26,3.58,152,3.58,3.55,3.58,3.46,3.50
志る幸,Shirukou,3.58,Kawaramachi,Kyoto Cuisine,+81-75-221-3250,3.54,3.58,149,3.58,3.57,3.61,3.52,3.52
cafe&dining fleur 京都店,Cafe&dining fleur,3.58,Kyoto,Cafe,+81-50-5570-3803,3.20,3.58,148,3.58,3.50,3.55,3.54,3.51
麺将 重厚軍団,menshoujuukougundan,3.58,Ichijoji,Ramen,+81-75-712-3134,3.57,3.57,145,3.58,3.51,3.53,3.55,3.11
らーめんや亜喜英,Ramenyaakihide,3.58,Ichijoji,Ramen,,3.58,3.52,142,3.58,3.50,3.44,3.56,3.08
祇をん 萬屋,Gionyorozuya,3.58,Gion Shijo,Udon,+81-75-551-3409,3.17,3.58,141,3.58,3.58,3.58,3.58,3.36
へんこつ,Henkotsu,3.58,Kyoto,Izakaya (Tavern),+81-75-343-5257,3.58,3.07,141,3.58,3.54,3.58,3.58,3.52
村上開新堂,Murakamikaishindou,3.58,Kyoto Shiyakusho,Sweets (other),+81-75-231-1058,3.04,3.58,141,3.58,3.56,3.59,3.50,3.50
雪ノ下 京都本店,Yukinoshita,3.58,Nijojo Mae,Pancake,+81-70-4469-1893,3.09,3.57,139,3.58,3.53,3.55,3.48,3.51
名前のないラーメン屋,Namaenonairamenya,3.58,Sanjo,Ramen,,3.57,3.58,138,3.58,3.55,3.63,3.53,3.06
喫茶マドラグ,Kissamadoragu,3.58,Karasuma Oike,Traditional Café,+81-75-744-0067,3.15,3.58,135,3.58,3.56,3.58,3.58,3.53
びし屋,Bishiya,3.58,Ichijoji,Ramen,+81-75-701-2828,3.52,3.55,135,3.58,3.50,3.48,3.53,3.00
カマル,kamal,3.58,Karasuma Oike,Curry rice,+81-75-211-3949,3.54,3.57,134,3.58,3.55,3.56,3.55,3.51
カカオ マーケット バイ マリベル,CACAO MARKET by MarieBelle,3.58,Gion Shijo,Chocolate,+81-75-533-7311,3.21,3.58,131,3.58,3.58,3.70,3.52,3.52
嵯峨野,Sagano,3.58,Arashiyama,"Tofu, Yuba",+81-75-871-6946,3.53,3.58,131,3.58,3.56,3.63,3.56,3.40
三木鶏卵,Mikikeiran,3.58,Kawaramachi,Delicatessen,+81-75-221-1585,3.23,3.58,130,3.58,3.32,3.44,3.50,3.02
東華菜館 本店,Toukasaikan,3.58,Gion Shijo,Chinese,+81-75-221-1147,3.58,3.55,125,3.58,3.59,3.64,3.58,3.58
ぎょうざ処 高辻 亮昌 本店,Sukemasa,3.58,Shijo,Dumplings,+81-75-201-6175,3.58,3.52,124,3.58,3.53,3.56,3.58,3.27
泉門天 祇園本店,Semmonten,3.58,Gion Shijo,Dumplings,+81-75-532-0820,3.58,3.14,122,3.58,3.55,3.09,3.57,3.53
手打ちそば 花もも,Teuchisobahanamomo,3.58,Marutamachi,Soba,+81-75-212-7787,3.24,3.58,119,3.58,3.54,3.56,3.53,3.08
松葉 京都駅店,Matsuba,3.58,Kyoto,Soba,+81-75-693-5595,3.38,3.58,118,3.58,3.42,3.54,3.45,3.55
ベルアメール 京都別邸,Beruamerukyoutobettei,3.58,Karasuma Oike,Chocolate,+81-75-221-7025,3.13,3.58,117,3.58,3.56,3.58,3.52,3.54
遊亀 祇園店,Yuuki,3.58,Gion Shijo,Izakaya (Tavern),+81-75-525-2666,3.58,-,116,3.58,3.56,3.57,3.59,3.59
七條甘春堂 本店,Shichijoukanshundou,3.58,Shichijo,Japanese sweets,+81-75-541-3771,3.08,3.58,116,3.58,3.49,3.52,3.55,3.36
梅香堂,Baikoudou,3.58,Tofukuji,Sweets,+81-75-561-3256,3.10,3.58,114,3.58,3.53,3.51,3.60,3.13
ニコット＆マム,Doughnut Cafe nicotto & mam,3.58,Karasuma Oike,Donut,+81-75-223-3630,-,3.58,113,3.58,3.54,3.55,3.51,3.53
ぎをん 常盤,Giwontokiwa,3.58,Sanjo Keihan,Soba,+81-75-561-1811,3.58,3.53,112,3.59,3.58,3.58,3.58,3.18
フォーチュンガーデンキョウト,FORTUNE GARDEN KYOTO,3.58,Kyoto Shiyakusho,Bistro,+81-50-5872-4097,3.56,3.54,112,3.57,3.59,3.65,3.56,3.54
一之船入,Ichinofunairi,3.58,Kyoto Shiyakusho,Chinese,+81-75-256-1271,3.52,3.59,111,3.58,3.55,3.59,3.58,3.53
冨美家,Fumiya,3.58,Karasuma,Udon,+81-75-222-0006,3.20,3.57,111,3.58,3.50,3.52,3.58,3.00
フレンチキュイジーヌ ティアレ,French Cuisine Tiare,3.58,Kyoto Shiyakusho,French,+81-75-253-4733,3.57,3.51,110,3.58,3.59,3.54,3.53,3.53
しゅばく,Shubaku,3.58,Uji,Soba,+81-774-22-5470,3.21,3.57,110,3.57,3.51,3.51,3.42,3.14
満月 JR京都伊勢丹店,Mangetsu,3.58,Kyoto,Japanese sweets,+81-75-352-1111,3.16,3.58,109,3.58,3.51,3.50,3.59,3.08
永楽屋 本店,Eirakuya,3.58,Kawaramachi,Sweets,+81-75-221-2318,3.10,3.58,109,3.58,3.53,3.56,3.51,3.41
グランディール 御池店,GRANDIR,3.58,Kyoto Shiyakusho,Bread,+81-75-231-1537,3.30,3.58,108,3.59,3.56,3.57,3.58,3.00
コーヒーハウス マキ,COFFEE HOUSE maki,3.58,Demachiyanagi,Traditional Café,+81-75-222-2460,3.00,3.58,108,3.58,3.54,3.55,3.58,3.52
豆水楼 木屋町本店,Tousuirou,3.58,Sanjo,"Tofu, Yuba",+81-75-251-1600,3.57,3.53,104,3.58,3.53,3.58,3.55,3.50
ラー麺 陽はまた昇る,Ramenhihamatanoboru,3.58,Fushimi Inari,Ramen,+81-75-642-5705,3.54,3.58,104,3.58,3.58,3.58,3.57,3.24
ラーメン専門店 大輝,ra-mensemmontendaiki,3.58,Matsuo Taisha,Ramen,+81-75-882-9897,3.53,3.58,103,3.58,3.54,3.54,3.53,3.27
ぎょうざ 歩兵,Gyouzahohei,3.58,Gion Shijo,Dumplings,+81-75-533-7133,3.58,3.06,103,3.58,3.53,3.52,3.55,3.50
嵯峨豆腐 森嘉,Sagadoufumorika,3.58,Saga Torokko Sta,"Tofu, Yuba",+81-75-872-3955,3.10,3.58,102,3.57,3.51,3.47,3.55,3.00
池田屋 一乗寺店,Ikedaya,3.58,Ichijoji,Ramen,,3.58,3.58,102,3.58,3.50,3.51,3.59,3.08
菓子・茶房 チェカ,cheka,3.58,Keage,Cake,+81-75-771-6776,3.06,3.58,101,3.58,3.52,3.58,3.52,3.43
麺家チャクリキ,Menyachakuriki,3.58,Yosano,Tsukemen,+81-772-42-3162,3.38,3.58,101,3.58,3.57,3.54,3.55,3.31
オ・タン・ペルデュ,AU TEMPS PERDU,3.58,Higashiyama,French,+81-75-762-1299,3.50,3.58,100,3.58,3.51,3.57,3.54,3.51
マッシュキョウト,MASH Kyoto ,3.58,Shijo,Bread,+81-75-352-0478,3.07,3.58,100,3.58,3.52,3.56,3.55,3.00
とん吉,Tonkichi,3.58,Fukuchiyama,Ramen,+81-773-23-6328,3.07,3.58,99,3.58,3.53,3.53,3.56,3.24
酒肴屋 じじばば,Sakenoateyajijibaba,3.58,Kyoto,Dining bar,+81-90-2010-3912,3.58,3.10,99,3.58,3.51,3.58,3.51,3.54
ブーランジェリエ デ ラ リベルテ,Boulangerie de la Liberte',3.58,Kyoto Shiyakusho,Bread,+81-75-253-0500,3.16,3.58,98,3.58,3.55,3.58,3.57,3.00
茶匠 清水一芳園 京都本店,chashoushimizuippouen,3.58,Shichijo,Cafe,+81-75-202-7964,3.08,3.58,96,3.58,3.58,3.57,3.54,3.51
遊形 サロン・ド・テ,Yuukeisarondote,3.58,Kyoto Shiyakusho,Cafe,+81-75-212-8883,3.08,3.58,96,3.58,3.57,3.59,3.50,3.55
あらた,Arata,3.58,Toji,Okonomiyaki,+81-75-661-5444,3.58,3.06,96,3.58,3.56,3.53,3.51,3.28
bar K家 本館,Bakeya,3.58,Kawaramachi,Bar,+81-75-241-0489,3.58,-,92,3.58,3.58,3.75,3.58,3.58
六盛,Rokusei,3.58,Higashiyama,Kyoto Cuisine,+81-75-751-6171,3.47,3.58,89,3.58,3.57,3.58,3.32,3.10
乙羽,Otowa,3.58,Kawaramachi,Sushi,+81-75-221-2412,3.55,3.58,89,3.58,3.57,3.58,3.58,3.10
すいば 四条河原町店,Suiba,3.58,Kawaramachi,Stand Bar,+81-75-212-7701,3.58,3.53,88,3.58,3.58,3.58,3.60,3.58
麺処 蛇の目屋,Mendokorojanomeya,3.58,Kawaramachi,Ramen,,3.57,3.52,88,3.58,3.41,3.52,3.51,3.00
麩嘉 錦市場店,Fuuka,3.58,Karasuma,Japanese sweets,+81-75-221-4533,3.09,3.58,86,3.58,3.55,3.53,3.53,3.24
よし田,Yoshida,3.58,Fushimi Momoyama,Tsukemen,+81-75-888-5157,3.16,3.58,85,3.58,3.53,3.53,3.52,3.47
ル・プチメック 大丸京都店,Le Petit Mec,3.58,Karasuma,Bread,+81-75-211-8111,3.34,3.58,85,3.58,3.55,3.54,3.53,3.21
丸久小山園 西洞院店,Marukyuukoyamaen,3.58,Karasuma Oike,Japan tea shoppe,+81-75-223-0909,3.07,3.58,82,3.58,3.57,3.58,3.53,3.57
ラーメン二郎  京都店,ra-menjirou,3.58,Ichijoji,Ramen,,3.53,3.58,83,3.58,3.58,3.55,3.58,3.14
京都生ショコラ オーガニックティーハウス,Kyoutonamashokoraoganikkuthihausu,3.58,Higashiyama,Chocolate,+81-75-751-2678,3.06,3.58,82,3.58,3.54,3.58,3.52,3.50
馳走いなせや,Chisouinaseya,3.58,Karasuma Oike,Fowl,+81-75-255-7250,3.56,3.58,81,3.58,3.59,3.60,3.58,3.58
プチジャポネ,petit japonais,3.58,Shijo,Cake,+81-75-352-5326,3.46,3.58,79,3.58,3.49,3.56,3.50,3.54
祇園サンボア,Gionsamboa,3.58,Gion Shijo,Bar,+81-75-541-7509,3.58,-,79,3.52,3.66,3.67,3.58,3.58
天ぷら よしおか,Tempurayoshioka,3.58,Shijo,Tempura,+81-75-351-8537,3.55,3.53,77,3.57,3.53,3.53,3.55,3.44
西冨家コロッケ店,Nishitomiyakorokketen,3.58,Kiyomizu Gojo,Croquette,+81-75-202-9837,3.53,3.52,76,3.58,3.52,3.53,3.53,3.41
殿田,Tonoda,3.58,Kujo,table d'hôte,+81-75-681-1032,3.30,3.58,76,3.58,3.56,3.53,3.57,3.04
アルチザナル,boulangerie Artisan'Halles,3.58,Demachiyanagi,Bread,+81-75-744-1839,3.25,3.58,75,3.58,3.55,3.58,3.53,3.24
ページワン,pageone,3.58,Gion Shijo,Café / coffee shop (and others),+81-75-551-2882,3.17,3.58,74,3.58,3.50,3.57,3.53,3.15
円町リバーブ,Emmachiribabu,3.58,Emmachi,Curry rice,+81-75-801-8102,3.06,3.58,73,3.58,3.50,3.54,3.53,3.14
麺屋 猪一 離れ,Menyainoichihanare,3.58,Shijo,Ramen,,3.25,3.58,71,3.58,3.57,3.58,3.55,3.07
鳥の木珈琲,Torinokikohi,3.58,Marutamachi,Coffee shoppe,,3.17,3.58,71,3.59,3.58,3.58,3.61,3.58
